cell_id,source_group,readme_file,eol_threshold_ah,preaudit_first_adjacent_crossing_cycle1,protocol_audit_status,admitted_for_exact_rul,current_disposition,blockers
B0005,1. BatteryAgingARC-FY08Q4,README.txt,1.4,125,NOT_EVALUATED_LICENSE_BLOCKED,false,right_censored,dataset_license_not_specified|official_snapshot_tls_failure
B0006,1. BatteryAgingARC-FY08Q4,README.txt,1.4,109,NOT_EVALUATED_LICENSE_BLOCKED,false,right_censored,dataset_license_not_specified|official_snapshot_tls_failure
B0018,1. BatteryAgingARC-FY08Q4,README.txt,1.4,97,NOT_EVALUATED_LICENSE_BLOCKED,false,right_censored,dataset_license_not_specified|official_snapshot_tls_failure
B0033,3. BatteryAgingARC_25-44,README_33_34_36.txt,1.6,13,NOT_EVALUATED_LICENSE_BLOCKED,false,right_censored,dataset_license_not_specified|official_snapshot_tls_failure
B0034,3. BatteryAgingARC_25-44,README_33_34_36.txt,1.6,5,NOT_EVALUATED_LICENSE_BLOCKED,false,right_censored,dataset_license_not_specified|official_snapshot_tls_failure
B0036,3. BatteryAgingARC_25-44,README_33_34_36.txt,1.6,186,NOT_EVALUATED_LICENSE_BLOCKED,false,right_censored,dataset_license_not_specified|official_snapshot_tls_failure
B0038,3. BatteryAgingARC_25-44,README_38_39_40.txt,1.6,46,NOT_EVALUATED_LICENSE_BLOCKED,false,right_censored,dataset_license_not_specified|official_snapshot_tls_failure
B0039,3. BatteryAgingARC_25-44,README_38_39_40.txt,1.6,46,NOT_EVALUATED_LICENSE_BLOCKED,false,right_censored,dataset_license_not_specified|official_snapshot_tls_failure
B0040,3. BatteryAgingARC_25-44,README_38_39_40.txt,1.6,46,NOT_EVALUATED_LICENSE_BLOCKED,false,right_censored,dataset_license_not_specified|official_snapshot_tls_failure
B0042,3. BatteryAgingARC_25-44,README_41_42_43_44.txt,1.4,6,NOT_EVALUATED_LICENSE_BLOCKED,false,right_censored,dataset_license_not_specified|official_snapshot_tls_failure
B0043,3. BatteryAgingARC_25-44,README_41_42_43_44.txt,1.4,6,NOT_EVALUATED_LICENSE_BLOCKED,false,right_censored,dataset_license_not_specified|official_snapshot_tls_failure
B0044,3. BatteryAgingARC_25-44,README_41_42_43_44.txt,1.4,6,NOT_EVALUATED_LICENSE_BLOCKED,false,right_censored,dataset_license_not_specified|official_snapshot_tls_failure
B0046,4. BatteryAgingARC_45_46_47_48,README_45_46_47_48.txt,1.4,17,NOT_EVALUATED_LICENSE_BLOCKED,false,right_censored,dataset_license_not_specified|official_snapshot_tls_failure
B0047,4. BatteryAgingARC_45_46_47_48,README_45_46_47_48.txt,1.4,10,NOT_EVALUATED_LICENSE_BLOCKED,false,right_censored,dataset_license_not_specified|official_snapshot_tls_failure
B0048,4. BatteryAgingARC_45_46_47_48,README_45_46_47_48.txt,1.4,12,NOT_EVALUATED_LICENSE_BLOCKED,false,right_censored,dataset_license_not_specified|official_snapshot_tls_failure

