audit_title,physical_cell_id,normalized_condition_token,cycle_presence,cycle_count,cycle_paths,rpt_presence,rpt_count,rpt_paths,after_soh80_presence,after_soh80_count,after_soh80_paths,rpt_0033_presence,rpt_0033_count,rpt_0033_paths,missing_roles,token_collision,relative_path_reuse,content_crc_size_reuse,mapping_status,evidence_note
用户风险接受的候选数据审计,1,LOW C@ 25°C #1,true,6,Cycle Data/1. LOW C@ 25°C #1/1. CYC1-100_0.5C @25°C.csv|Cycle Data/1. LOW C@ 25°C #1/2. CYC101-200_0.5C @25°C.csv|Cycle Data/1. LOW C@ 25°C #1/3. CYC201-300_0.5C @25°C.csv|Cycle Data/1. LOW C@ 25°C #1/4. CYC301-350_0.5C @25°C.csv|Cycle Data/1. LOW C@ 25°C #1/5. CYC351-425_0.5C @25°C.csv|Cycle Data/1. LOW C@ 25°C #1/6. CYC426-465_0.5C @25°C.csv,true,7,RPT Data/1. LOW C@ 25°C #1/0.csv|RPT Data/1. LOW C@ 25°C #1/1.csv|RPT Data/1. LOW C@ 25°C #1/2.csv|RPT Data/1. LOW C@ 25°C #1/3.csv|RPT Data/1. LOW C@ 25°C #1/4.csv|RPT Data/1. LOW C@ 25°C #1/5.csv|RPT Data/1. LOW C@ 25°C #1/6.csv,true,1,After SOH80 Data/1. CYCLE_after_SOH80_LOW C@ 25°C #1.csv,true,1,0.033C RPT Data/1. LOW C@ 25°C #1.csv,,false,false,false,PASS,Leading integer cell ID plus normalized condition token; no directory-order pairing.
用户风险接受的候选数据审计,2,LOW C@ 25°C #2,true,6,Cycle Data/2. LOW C@ 25°C #2/1. CYC1-100_0.5C @25°C.csv|Cycle Data/2. LOW C@ 25°C #2/2. CYC101-200_0.5C @25°C.csv|Cycle Data/2. LOW C@ 25°C #2/3. CYC201-300_0.5C @25°C.csv|Cycle Data/2. LOW C@ 25°C #2/4. CYC301-350_0.5C @25°C.csv|Cycle Data/2. LOW C@ 25°C #2/5. CYC351-425_0.5C @25°C.csv|Cycle Data/2. LOW C@ 25°C #2/6. CYC426-465_0.5C @25°C.csv,true,7,RPT Data/2. LOW C@ 25°C #2/0.csv|RPT Data/2. LOW C@ 25°C #2/1.csv|RPT Data/2. LOW C@ 25°C #2/2.csv|RPT Data/2. LOW C@ 25°C #2/3.csv|RPT Data/2. LOW C@ 25°C #2/4.csv|RPT Data/2. LOW C@ 25°C #2/5.csv|RPT Data/2. LOW C@ 25°C #2/6.csv,true,1,After SOH80 Data/2. CYCLE_after_SOH80_LOW C@ 25°C #2.csv,true,1,0.033C RPT Data/2. LOW C@ 25°C #2.csv,,false,false,false,PASS,Leading integer cell ID plus normalized condition token; no directory-order pairing.
用户风险接受的候选数据审计,3,LOW C@ 25°C #3,true,6,Cycle Data/3. LOW C@ 25°C #3/1. CYC1-100_0.5C @25°C.csv|Cycle Data/3. LOW C@ 25°C #3/2. CYC101-200_0.5C @25°C.csv|Cycle Data/3. LOW C@ 25°C #3/3. CYC201-300_0.5C @25°C.csv|Cycle Data/3. LOW C@ 25°C #3/4. CYC301-350_0.5C @25°C.csv|Cycle Data/3. LOW C@ 25°C #3/5. CYC351-425_0.5C @25°C.csv|Cycle Data/3. LOW C@ 25°C #3/6. CYC426-465_0.5C @25°C.csv,true,7,RPT Data/3. LOW C@ 25°C #3/0.csv|RPT Data/3. LOW C@ 25°C #3/1.csv|RPT Data/3. LOW C@ 25°C #3/2.csv|RPT Data/3. LOW C@ 25°C #3/3.csv|RPT Data/3. LOW C@ 25°C #3/4.csv|RPT Data/3. LOW C@ 25°C #3/5.csv|RPT Data/3. LOW C@ 25°C #3/6.csv,true,1,After SOH80 Data/3. CYCLE_after_SOH80_LOW C@ 25°C #3.csv,true,1,0.033C RPT Data/3. LOW C@ 25°C #3.csv,,false,false,false,PASS,Leading integer cell ID plus normalized condition token; no directory-order pairing.
用户风险接受的候选数据审计,4,LOW C@ 25°C #4,true,6,Cycle Data/4. LOW C@ 25°C #4/1. CYC1-100_0.5C @25°C.csv|Cycle Data/4. LOW C@ 25°C #4/2. CYC101-200_0.5C @25°C.csv|Cycle Data/4. LOW C@ 25°C #4/3. CYC201-300_0.5C @25°C.csv|Cycle Data/4. LOW C@ 25°C #4/4. CYC301-350_0.5C @25°.csv|Cycle Data/4. LOW C@ 25°C #4/5. CYC351-425_0.5C @25°C.csv|Cycle Data/4. LOW C@ 25°C #4/6. CYC426-465_0.5C @25°C.csv,true,7,RPT Data/4. LOW C@ 25°C #4/0.csv|RPT Data/4. LOW C@ 25°C #4/1.csv|RPT Data/4. LOW C@ 25°C #4/2.csv|RPT Data/4. LOW C@ 25°C #4/3.csv|RPT Data/4. LOW C@ 25°C #4/4.csv|RPT Data/4. LOW C@ 25°C #4/5.csv|RPT Data/4. LOW C@ 25°C #4/6.csv,true,1,After SOH80 Data/4. CYCLE_after_SOH80_LOW C@ 25°C #4.csv,true,1,0.033C RPT Data/4. LOW C@ 25°C #4.csv,,false,false,false,PASS,Leading integer cell ID plus normalized condition token; no directory-order pairing.
用户风险接受的候选数据审计,5,LOW C@ 25°C #5,true,5,Cycle Data/5. LOW C@ 25°C #5/1. CYC1-100_1C @25°C.csv|Cycle Data/5. LOW C@ 25°C #5/2. CYC101-200_1C @25°C.csv|Cycle Data/5. LOW C@ 25°C #5/3. CYC201-300_1C @25°C.csv|Cycle Data/5. LOW C@ 25°C #5/4. CYC301-400_1C @25°C.csv|Cycle Data/5. LOW C@ 25°C #5/5. CYC401-435_1C @25°C.csv,true,6,RPT Data/5. LOW C@ 25°C #5/0.csv|RPT Data/5. LOW C@ 25°C #5/1.csv|RPT Data/5. LOW C@ 25°C #5/2.csv|RPT Data/5. LOW C@ 25°C #5/3.csv|RPT Data/5. LOW C@ 25°C #5/4.csv|RPT Data/5. LOW C@ 25°C #5/5.csv,true,1,After SOH80 Data/5. CYCLE_after_SOH80_LOW C@ 25°C #5.csv,true,1,0.033C RPT Data/5. LOW C@ 25°C #5.csv,,false,false,false,PASS,Leading integer cell ID plus normalized condition token; no directory-order pairing.
用户风险接受的候选数据审计,6,LOW C@ 25°C #6,true,6,Cycle Data/6. LOW C@ 25°C #6/1. CYC1-100_1C @25°C.csv|Cycle Data/6. LOW C@ 25°C #6/2. CYC101-200_1C @25°C.csv|Cycle Data/6. LOW C@ 25°C #6/3. CYC201-300_1C @25°C.csv|Cycle Data/6. LOW C@ 25°C #6/4. CYC301-400_1C @25°C.csv|Cycle Data/6. LOW C@ 25°C #6/5. CYC401-435_1C @25°C.csv|Cycle Data/6. LOW C@ 25°C #6/6. CYC436-470_1C @25°C.csv,true,7,RPT Data/6. LOW C@ 25°C #6/0.csv|RPT Data/6. LOW C@ 25°C #6/1.csv|RPT Data/6. LOW C@ 25°C #6/2.csv|RPT Data/6. LOW C@ 25°C #6/3.csv|RPT Data/6. LOW C@ 25°C #6/4.csv|RPT Data/6. LOW C@ 25°C #6/5.csv|RPT Data/6. LOW C@ 25°C #6/6.csv,true,1,After SOH80 Data/6. CYCLE_after_SOH80_LOW C@ 25°C #6.csv,true,1,0.033C RPT Data/6. LOW C@ 25°C #6.csv,,false,false,false,PASS,Leading integer cell ID plus normalized condition token; no directory-order pairing.
用户风险接受的候选数据审计,7,LOW C@ 25°C #7,true,5,Cycle Data/7. LOW C@ 25°C #7/1. CYC1-100_1C @25°C.csv|Cycle Data/7. LOW C@ 25°C #7/2. CYC101-200_1C @25°C.csv|Cycle Data/7. LOW C@ 25°C #7/3. CYC201-300_1C @25°C.csv|Cycle Data/7. LOW C@ 25°C #7/4. CYC301-350_1C @25°C.csv|Cycle Data/7. LOW C@ 25°C #7/5. CYC351-425_1C @25°C.csv,true,6,RPT Data/7. LOW C@ 25°C #7/0.csv|RPT Data/7. LOW C@ 25°C #7/1.csv|RPT Data/7. LOW C@ 25°C #7/2.csv|RPT Data/7. LOW C@ 25°C #7/3.csv|RPT Data/7. LOW C@ 25°C #7/4.csv|RPT Data/7. LOW C@ 25°C #7/5.csv,true,1,After SOH80 Data/7. CYCLE_after_SOH80_LOW C@ 25°C #7.csv,true,1,0.033C RPT Data/7. LOW C@ 25°C #7.csv,,false,false,false,PASS,Leading integer cell ID plus normalized condition token; no directory-order pairing.
用户风险接受的候选数据审计,8,LOW C@ 25°C #8,true,5,Cycle Data/8. LOW C@ 25°C #8/1. CYC1-100_1C @25°C.csv|Cycle Data/8. LOW C@ 25°C #8/2. CYC101-200_1C @25°C.csv|Cycle Data/8. LOW C@ 25°C #8/3. CYC201-300_1C @25°C.csv|Cycle Data/8. LOW C@ 25°C #8/4. CYC301-400_1C @25°C.csv|Cycle Data/8. LOW C@ 25°C #8/5. CYC401-435_1C @25°C.csv,true,6,RPT Data/8. LOW C@ 25°C #8/0.csv|RPT Data/8. LOW C@ 25°C #8/1.csv|RPT Data/8. LOW C@ 25°C #8/2.csv|RPT Data/8. LOW C@ 25°C #8/3.csv|RPT Data/8. LOW C@ 25°C #8/4.csv|RPT Data/8. LOW C@ 25°C #8/5.csv,true,1,After SOH80 Data/8. CYCLE_after_SOH80_LOW C@ 25°C #8.csv,true,1,0.033C RPT Data/8. LOW C@ 25°C #8.csv,,false,false,false,PASS,Leading integer cell ID plus normalized condition token; no directory-order pairing.
用户风险接受的候选数据审计,9,HIGH C@ 25°C #1,true,5,Cycle Data/9. HIGH C@ 25°C #1/1. CYC1-100_3C @25°C.csv|Cycle Data/9. HIGH C@ 25°C #1/2. CYC101-200_3C @25°C.csv|Cycle Data/9. HIGH C@ 25°C #1/3. CYC201-300_3C @25°C.csv|Cycle Data/9. HIGH C@ 25°C #1/4. CYC301-400_3C @25°C.csv|Cycle Data/9. HIGH C@ 25°C #1/5. CYC401-450_3C @25°C.csv,true,6,RPT Data/9. HIGH C@ 25°C #1/0.csv|RPT Data/9. HIGH C@ 25°C #1/1.csv|RPT Data/9. HIGH C@ 25°C #1/2.csv|RPT Data/9. HIGH C@ 25°C #1/3.csv|RPT Data/9. HIGH C@ 25°C #1/4.csv|RPT Data/9. HIGH C@ 25°C #1/5.csv,true,1,After SOH80 Data/9. CYCLE_after_SOH80_HIGH C@ 25°C #1.csv,true,1,0.033C RPT Data/9. HIGH C@ 25°C #1.csv,,false,false,false,PASS,Leading integer cell ID plus normalized condition token; no directory-order pairing.
用户风险接受的候选数据审计,10,HIGH C@ 25°C #2,true,4,Cycle Data/10. HIGH C@ 25°C #2/1. CYC1-100_3C @25°C.csv|Cycle Data/10. HIGH C@ 25°C #2/2. CYC101-200_3C @25°C.csv|Cycle Data/10. HIGH C@ 25°C #2/3. CYC201-300_3C @25°C.csv|Cycle Data/10. HIGH C@ 25°C #2/4. CYC301-375_3C @25°C.csv,true,5,RPT Data/10. HIGH C@ 25°C #2/0.csv|RPT Data/10. HIGH C@ 25°C #2/1.csv|RPT Data/10. HIGH C@ 25°C #2/2.csv|RPT Data/10. HIGH C@ 25°C #2/3.csv|RPT Data/10. HIGH C@ 25°C #2/4.csv,true,1,After SOH80 Data/10. CYCLE_after_SOH80_HIGH C@ 25°C #2.csv,true,1,0.033C RPT Data/10. HIGH C@ 25°C #2.csv,,false,false,false,PASS,Leading integer cell ID plus normalized condition token; no directory-order pairing.
用户风险接受的候选数据审计,11,HIGH C@ 25°C #3,true,4,Cycle Data/11. HIGH C@ 25°C #3/1. CYC1-100_3C @25°C.csv|Cycle Data/11. HIGH C@ 25°C #3/2. CYC101-200_3C @25°C.csv|Cycle Data/11. HIGH C@ 25°C #3/3. CYC201-300_3C @25°C.csv|Cycle Data/11. HIGH C@ 25°C #3/4. CYC301-400_3C @25°C.csv,true,5,RPT Data/11. HIGH C@ 25°C #3/0.csv|RPT Data/11. HIGH C@ 25°C #3/1.csv|RPT Data/11. HIGH C@ 25°C #3/2.csv|RPT Data/11. HIGH C@ 25°C #3/3.csv|RPT Data/11. HIGH C@ 25°C #3/4.csv,true,1,After SOH80 Data/11. CYCLE_after_SOH80_HIGH C@ 25°C #3.csv,true,1,0.033C RPT Data/11. HIGH C@ 25°C #3.csv,,false,false,false,PASS,Leading integer cell ID plus normalized condition token; no directory-order pairing.
