target,source_id,cell_id,condition_id,discharge_stage,sample_count,model_mae,model_p95_absolute_error,physical_mae,physical_max_absolute_error
soc,calce_a123_dynamic_0c,A1-007-DST-US06-FUDS-0,ambient_0c,0-25%,4,,,5.551115123125783e-17,1.1102230246251565e-16
soc,calce_a123_dynamic_0c,A1-007-DST-US06-FUDS-0,ambient_0c,25-50%,4,,,2.7755575615628914e-17,1.1102230246251565e-16
soc,calce_a123_dynamic_0c,A1-007-DST-US06-FUDS-0,ambient_0c,50-75%,4,,,1.3877787807814457e-17,5.551115123125783e-17
soc,calce_a123_dynamic_0c,A1-007-DST-US06-FUDS-0,ambient_0c,75-100%,32,,,6.307346138434422e-17,3.0964814046186007e-16
soc,calce_a123_dynamic_0c,A1-007-DST-US06-FUDS-0,ambient_0c,>100%,421,,,0.0,0.0
soc,calce_a123_dynamic_0c,A1-008-DST-US06-FUDS-0,ambient_0c,0-25%,4,,,2.7755575615628914e-17,1.1102230246251565e-16
soc,calce_a123_dynamic_0c,A1-008-DST-US06-FUDS-0,ambient_0c,25-50%,4,,,0.0,0.0
soc,calce_a123_dynamic_0c,A1-008-DST-US06-FUDS-0,ambient_0c,50-75%,5,,,2.2204460492503132e-17,5.551115123125783e-17
soc,calce_a123_dynamic_0c,A1-008-DST-US06-FUDS-0,ambient_0c,75-100%,29,,,6.941884806452015e-17,2.5673907444456745e-16
soc,calce_a123_dynamic_0c,A1-008-DST-US06-FUDS-0,ambient_0c,>100%,420,,,0.0,0.0
soc,calce_a123_dynamic_25c,A1-007-DST-US06-FUDS-25,ambient_25c,0-25%,4,,,0.0,0.0
soc,calce_a123_dynamic_25c,A1-007-DST-US06-FUDS-25,ambient_25c,25-50%,4,,,2.7755575615628914e-17,1.1102230246251565e-16
soc,calce_a123_dynamic_25c,A1-007-DST-US06-FUDS-25,ambient_25c,50-75%,3,,,1.850371707708594e-17,5.551115123125783e-17
soc,calce_a123_dynamic_25c,A1-007-DST-US06-FUDS-25,ambient_25c,75-100%,14,,,4.4731083916259095e-17,8.500145032286355e-17
soc,calce_a123_dynamic_25c,A1-007-DST-US06-FUDS-25,ambient_25c,>100%,465,,,0.0,0.0
soc,calce_a123_dynamic_25c,A1-008-DST-US06-FUDS-25,ambient_25c,0-25%,4,,,2.7755575615628914e-17,1.1102230246251565e-16
soc,calce_a123_dynamic_25c,A1-008-DST-US06-FUDS-25,ambient_25c,25-50%,4,,,2.7755575615628914e-17,1.1102230246251565e-16
soc,calce_a123_dynamic_25c,A1-008-DST-US06-FUDS-25,ambient_25c,50-75%,3,,,3.700743415417188e-17,5.551115123125783e-17
soc,calce_a123_dynamic_25c,A1-008-DST-US06-FUDS-25,ambient_25c,75-100%,15,,,3.700743415417188e-17,8.326672684688674e-17
soc,calce_a123_dynamic_25c,A1-008-DST-US06-FUDS-25,ambient_25c,>100%,477,,,0.0,0.0
soc,calce_a123_dynamic_50c,A1-007-DST-US06-FUDS-50,ambient_50c,0-25%,4,,,5.551115123125783e-17,2.220446049250313e-16
soc,calce_a123_dynamic_50c,A1-007-DST-US06-FUDS-50,ambient_50c,25-50%,4,,,0.0,0.0
soc,calce_a123_dynamic_50c,A1-007-DST-US06-FUDS-50,ambient_50c,50-75%,3,,,1.850371707708594e-17,5.551115123125783e-17
soc,calce_a123_dynamic_50c,A1-007-DST-US06-FUDS-50,ambient_50c,75-100%,9,,,5.2619945437963146e-17,9.8879238130678e-17
soc,calce_a123_dynamic_50c,A1-007-DST-US06-FUDS-50,ambient_50c,>100%,476,,,0.0,0.0
soc,calce_a123_dynamic_50c,A1-008-DST-US06-FUDS-50,ambient_50c,0-25%,4,,,8.326672684688674e-17,2.220446049250313e-16
soc,calce_a123_dynamic_50c,A1-008-DST-US06-FUDS-50,ambient_50c,25-50%,4,,,0.0,0.0
soc,calce_a123_dynamic_50c,A1-008-DST-US06-FUDS-50,ambient_50c,50-75%,3,,,5.551115123125783e-17,5.551115123125783e-17
soc,calce_a123_dynamic_50c,A1-008-DST-US06-FUDS-50,ambient_50c,75-100%,8,,,4.0115480381963664e-17,9.974659986866641e-17
soc,calce_a123_dynamic_50c,A1-008-DST-US06-FUDS-50,ambient_50c,>100%,488,,,0.0,0.0
soc,calce_a123_dynamic_temperature,A1-007-DST-US06-FUDS-N10,ambient_-10c,0-25%,5,,,2.2204460492503132e-17,1.1102230246251565e-16
soc,calce_a123_dynamic_temperature,A1-007-DST-US06-FUDS-N10,ambient_-10c,25-50%,5,,,0.0,0.0
soc,calce_a123_dynamic_temperature,A1-007-DST-US06-FUDS-N10,ambient_-10c,50-75%,9,,,2.4671622769447922e-17,5.551115123125783e-17
soc,calce_a123_dynamic_temperature,A1-007-DST-US06-FUDS-N10,ambient_-10c,75-100%,36,,,4.98002668713255e-17,1.6653345369377348e-16
soc,calce_a123_dynamic_temperature,A1-007-DST-US06-FUDS-N10,ambient_-10c,>100%,341,,,0.0,0.0
soc,calce_a123_dynamic_temperature,A1-008-DST-US06-FUDS-N10,ambient_-10c,0-25%,6,,,0.0,0.0
soc,calce_a123_dynamic_temperature,A1-008-DST-US06-FUDS-N10,ambient_-10c,25-50%,6,,,0.0,0.0
soc,calce_a123_dynamic_temperature,A1-008-DST-US06-FUDS-N10,ambient_-10c,50-75%,12,,,1.850371707708594e-17,5.551115123125783e-17
soc,calce_a123_dynamic_temperature,A1-008-DST-US06-FUDS-N10,ambient_-10c,75-100%,27,,,5.756711979537848e-17,1.6653345369377348e-16
soc,calce_a123_dynamic_temperature,A1-008-DST-US06-FUDS-N10,ambient_-10c,>100%,214,,,0.0,0.0
soc,mit_stanford_fast_charge,b1c0,3.6C(80%)-3.6C,0-25%,4198,,,2.686961869983704e-17,1.1102230246251565e-16
soc,mit_stanford_fast_charge,b1c0,3.6C(80%)-3.6C,25-50%,1740,,,0.0,0.0
soc,mit_stanford_fast_charge,b1c0,3.6C(80%)-3.6C,50-75%,1571,,,2.50171197146598e-17,5.551115123125783e-17
soc,mit_stanford_fast_charge,b1c0,3.6C(80%)-3.6C,75-100%,5225,,,4.5588073524484364e-17,9.93129189996722e-17
soc,mit_stanford_fast_charge,b1c0,3.6C(80%)-3.6C,>100%,953,,,0.0,0.0
soc,mit_stanford_fast_charge,b1c1,3.6C(80%)-3.6C,0-25%,3875,,,4.1887640309728486e-17,1.1102230246251565e-16
soc,mit_stanford_fast_charge,b1c1,3.6C(80%)-3.6C,25-50%,1758,,,0.0,0.0
soc,mit_stanford_fast_charge,b1c1,3.6C(80%)-3.6C,50-75%,1558,,,2.50477145799578e-17,5.551115123125783e-17
soc,mit_stanford_fast_charge,b1c1,3.6C(80%)-3.6C,75-100%,5563,,,4.3532156518964075e-17,9.985502008591496e-17
soc,mit_stanford_fast_charge,b1c1,3.6C(80%)-3.6C,>100%,544,,,0.0,0.0
soc,mit_stanford_fast_charge,b1c10,5.4C(50%)-3C,0-25%,5350,,,3.7477809018187527e-17,1.1102230246251565e-16
soc,mit_stanford_fast_charge,b1c10,5.4C(50%)-3C,25-50%,1254,,,0.0,0.0
soc,mit_stanford_fast_charge,b1c10,5.4C(50%)-3C,50-75%,1148,,,2.577303450022685e-17,5.551115123125783e-17
soc,mit_stanford_fast_charge,b1c10,5.4C(50%)-3C,75-100%,4482,,,4.35708865627587e-17,9.985502008591496e-17
soc,mit_stanford_fast_charge,b1c10,5.4C(50%)-3C,>100%,329,,,0.0,0.0
soc,mit_stanford_fast_charge,b1c11,5.4C(50%)-3C,0-25%,2124,,,4.9238704764449035e-17,1.1102230246251565e-16
soc,mit_stanford_fast_charge,b1c11,5.4C(50%)-3C,25-50%,1090,,,0.0,0.0
soc,mit_stanford_fast_charge,b1c11,5.4C(50%)-3C,50-75%,1045,,,2.4541772123292933e-17,5.551115123125783e-17
soc,mit_stanford_fast_charge,b1c11,5.4C(50%)-3C,75-100%,4013,,,4.391133901542112e-17,9.985502008591496e-17
soc,mit_stanford_fast_charge,b1c11,5.4C(50%)-3C,>100%,240,,,0.0,0.0
soc,mit_stanford_fast_charge,b1c12,5.4C(50%)-3.6C,0-25%,7601,,,4.701760184539375e-17,1.1102230246251565e-16
soc,mit_stanford_fast_charge,b1c12,5.4C(50%)-3.6C,25-50%,1062,,,0.0,0.0
soc,mit_stanford_fast_charge,b1c12,5.4C(50%)-3.6C,50-75%,1158,,,2.40164825275131e-17,5.551115123125783e-17
soc,mit_stanford_fast_charge,b1c12,5.4C(50%)-3.6C,75-100%,4703,,,4.2083575212927414e-17,9.985502008591496e-17
soc,mit_stanford_fast_charge,b1c12,5.4C(50%)-3.6C,>100%,228,,,0.0,0.0
soc,mit_stanford_fast_charge,b1c13,5.4C(50%)-3.6C,0-25%,7460,,,4.671568464206925e-17,1.1102230246251565e-16
soc,mit_stanford_fast_charge,b1c13,5.4C(50%)-3.6C,25-50%,1024,,,0.0,0.0
soc,mit_stanford_fast_charge,b1c13,5.4C(50%)-3.6C,50-75%,1141,,,2.3839144700540172e-17,5.551115123125783e-17
soc,mit_stanford_fast_charge,b1c13,5.4C(50%)-3.6C,75-100%,4720,,,4.332889009087372e-17,9.98821251402271e-17
soc,mit_stanford_fast_charge,b1c13,5.4C(50%)-3.6C,>100%,258,,,0.0,0.0
soc,mit_stanford_fast_charge,b1c14,5.4C(60%)-3C,0-25%,6673,,,4.194323760047984e-17,1.1102230246251565e-16
soc,mit_stanford_fast_charge,b1c14,5.4C(60%)-3C,25-50%,1053,,,0.0,0.0
soc,mit_stanford_fast_charge,b1c14,5.4C(60%)-3C,50-75%,1057,,,2.5996234493351585e-17,5.551115123125783e-17
soc,mit_stanford_fast_charge,b1c14,5.4C(60%)-3C,75-100%,4547,,,4.431341182218831e-17,9.98821251402271e-17
soc,mit_stanford_fast_charge,b1c14,5.4C(60%)-3C,>100%,314,,,0.0,0.0
soc,mit_stanford_fast_charge,b1c15,5.4C(60%)-3C,0-25%,5720,,,4.656337475656906e-17,1.1102230246251565e-16
soc,mit_stanford_fast_charge,b1c15,5.4C(60%)-3C,25-50%,841,,,0.0,0.0
soc,mit_stanford_fast_charge,b1c15,5.4C(60%)-3C,50-75%,866,,,2.243522278399566e-17,5.551115123125783e-17
soc,mit_stanford_fast_charge,b1c15,5.4C(60%)-3C,75-100%,3806,,,4.3555022130224596e-17,9.996344030316351e-17
