cell_id,test_id,channel,barcode,source_category,mapping_count,batch_id,table9_status,mapping_result
b1c5,5c86c266fa2ede00015de0f7,7,EL150800464883,official_cycle_life_eol_candidate,1,5c86c0b5fa2ede00015ddf67,true,PASS
b1c6,5c86c16ffa2ede00015de025,10,EL150800463886,official_cycle_life_eol_candidate,1,5c86c0b5fa2ede00015ddf67,true,PASS
b1c7,5c86c277fa2ede00015de10b,9,EL150800465027,official_cycle_life_eol_candidate,1,5c86c0b5fa2ede00015ddf67,true,PASS
b1c8,5c86c1cffa2ede00015de075,13,EL150800463980,known_early_terminated,1,5c86c0b5fa2ede00015ddf67,not_listed,PASS
b1c9,5c86c22afa2ede00015de0bb,20,EL150800460468,official_cycle_life_eol_candidate,1,5c86c0b5fa2ede00015ddf67,true,PASS
b1c10,5c86c179fa2ede00015de02f,19,EL150800464898,known_early_terminated,1,5c86c0b5fa2ede00015ddf67,not_listed,PASS
b1c11,5c86c29efa2ede00015de133,14,EL150800463882,official_cycle_life_eol_candidate,1,5c86c0b5fa2ede00015ddf67,true,PASS
b1c12,5c86c1dafa2ede00015de07f,21,EL150800460472,known_early_terminated,1,5c86c0b5fa2ede00015ddf67,not_listed,PASS
b1c13,5c86c108fa2ede00015ddfb7,22,EL150800460658,known_early_terminated,1,5c86c0b5fa2ede00015ddf67,not_listed,PASS
b1c14,5c86c21dfa2ede00015de0b1,15,EL150800463838,official_cycle_life_eol_candidate,1,5c86c0b5fa2ede00015ddf67,true,PASS
b1c15,5c86c283fa2ede00015de115,16,EL150800453113,official_cycle_life_eol_candidate,1,5c86c0b5fa2ede00015ddf67,true,PASS
b1c16,5c86c133fa2ede00015ddfdf,23,EL150800460653,official_cycle_life_eol_candidate,1,5c86c0b5fa2ede00015ddf67,true,PASS
b1c17,5c86c13dfa2ede00015ddfe9,24,EL150800460522,official_cycle_life_eol_candidate,1,5c86c0b5fa2ede00015ddf67,true,PASS
b1c18,5c86c292fa2ede00015de129,17,EL150800453240,official_cycle_life_eol_candidate,1,5c86c0b5fa2ede00015ddf67,true,PASS
b1c19,5c86c1c3fa2ede00015de06b,18,EL150800464881,official_cycle_life_eol_candidate,1,5c86c0b5fa2ede00015ddf67,true,PASS
b1c20,5c86c0e3fa2ede00015ddf99,11,EL150800464002,official_cycle_life_eol_candidate,1,5c86c0b5fa2ede00015ddf67,true,PASS
b1c21,5c86c0d6fa2ede00015ddf8f,12,EL150800463871,official_cycle_life_eol_candidate,1,5c86c0b5fa2ede00015ddf67,true,PASS
