cell_id,barcode,v11_current_provenance,audit_semantic_class,raw_cycle_count,stored_batch1_cycle_life,stored_eq_raw_count_plus_1,supp_table9_cycle_life,supp_table9_match,final_qdischarge_ah,min_qdischarge_after_missing_cycle1_ah,trailing5_median_ah,trailing11_median_ah,measured_crossing_after_missing_cycle1
b1c0,EL150800460514,official_continuation,official_continuation,1189,1190,1,1852,official_combined,1.026209800,1.008352400,1.026498600,1.026700000,0
b1c1,EL150800460486,official_continuation,official_continuation,1178,1179,1,2160,official_combined,1.038224600,1.038224600,1.038699900,1.038742400,0
b1c2,EL150800460623,official_continuation,official_continuation,1176,1177,1,2237,official_combined,1.043278600,1.043278600,1.043585500,1.043597700,0
b1c3,EL150800464977,official_continuation,official_continuation,1225,1226,1,1434,official_combined,0.970921220,0.970921220,0.971356090,0.972862120,0
b1c4,EL150800464865,official_continuation,official_continuation,1226,1227,1,1709,official_combined,1.021959700,1.021641300,1.021865200,1.022008500,0
b1c5,EL150800464883,right_censored,official_cycle_life_eol_candidate,1073,1074,1,1074,true,0.880536260,0.880536260,0.882119180,0.885166700,0
b1c6,EL150800463886,right_censored,official_cycle_life_eol_candidate,635,636,1,636,true,0.880056500,0.880056500,0.883187120,0.887619380,0
b1c7,EL150800465027,right_censored,official_cycle_life_eol_candidate,869,870,1,870,true,0.881105960,0.881105960,0.883314250,0.886284590,0
b1c8,,right_censored,right_censored,878,879,1,,not_listed,0.969024540,0.969024540,0.970365170,0.971951430,0
b1c9,EL150800460468,right_censored,official_cycle_life_eol_candidate,1053,1054,1,1054,true,0.880928400,0.880928400,0.883018730,0.886055170,0
b1c10,,right_censored,right_censored,905,906,1,,not_listed,0.961018740,0.961018740,0.962338630,0.963525710,0
b1c11,EL150800463882,right_censored,official_cycle_life_eol_candidate,787,788,1,788,true,0.880543590,0.880543590,0.882799740,0.885813180,0
b1c12,,right_censored,right_censored,901,902,1,,not_listed,0.913119440,0.913119440,0.915049020,0.917644800,0
b1c13,,right_censored,right_censored,896,897,1,,not_listed,0.923135820,0.923135820,0.925050320,0.927616000,0
b1c14,EL150800463838,right_censored,official_cycle_life_eol_candidate,879,880,1,880,true,0.880064900,0.880064900,0.881801780,0.884727180,0
b1c15,EL150800453113,right_censored,official_cycle_life_eol_candidate,718,719,1,719,true,0.882988810,0.882988810,0.884772960,0.888648810,0
b1c16,EL150800460653,right_censored,official_cycle_life_eol_candidate,861,862,1,862,true,0.880965770,0.880965770,0.883227650,0.886804880,0
b1c17,EL150800460522,right_censored,official_cycle_life_eol_candidate,856,857,1,857,true,0.883246900,0.883246900,0.885262370,0.887874960,0
b1c18,EL150800453240,right_censored,official_cycle_life_eol_candidate,690,691,1,691,true,0.881144110,0.880170460,0.881144110,0.884225960,0
b1c19,EL150800464881,right_censored,official_cycle_life_eol_candidate,787,788,1,788,true,0.880939720,0.880939720,0.882854580,0.885556580,0
b1c20,EL150800464002,right_censored,official_cycle_life_eol_candidate,533,534,1,534,true,0.880784930,0.880784930,0.883583900,0.887263060,0
b1c21,EL150800463871,right_censored,official_cycle_life_eol_candidate,558,559,1,559,true,0.880165340,0.880165340,0.883540570,0.891155960,0
b1c22,,right_censored,right_censored,890,891,1,,not_listed,0.963278950,0.963278950,0.965279040,0.966482820,0
b1c23,EL150800460477,right_censored,official_cycle_life_eol_candidate,1013,1014,1,1014,true,0.880664530,0.880664530,0.882715230,0.886003730,0
b1c24,EL150800460630,right_censored,official_cycle_life_eol_candidate,1016,1017,1,1017,true,0.880465980,0.880465980,0.882444800,0.885242940,0
b1c25,EL150800460617,right_censored,official_cycle_life_eol_candidate,853,854,1,854,true,0.880199970,0.880199970,0.882271950,0.885252000,0
b1c26,EL150800460659,right_censored,official_cycle_life_eol_candidate,869,870,1,870,true,0.881050170,0.881050170,0.883264010,0.886331740,0
b1c27,EL150800463198,right_censored,official_cycle_life_eol_candidate,841,842,1,842,true,0.881300570,0.881300570,0.883864160,0.887323620,0
b1c28,EL150800460507,right_censored,official_cycle_life_eol_candidate,859,860,1,860,true,0.880582270,0.880582270,0.881564620,0.885012810,0
