target,source_id,cell_id,condition_id,discharge_stage,sample_count,model_mae,model_p95_absolute_error,physical_mae,physical_max_absolute_error
soc,calce_a123_dynamic_25c,A1-007-DST-US06-FUDS-25,ambient_25c,75-100%,4,0.03280879639786907,0.07028911079952588,5.074066167232161e-17,8.500145032286355e-17
soc,calce_a123_dynamic_25c,A1-007-DST-US06-FUDS-25,ambient_25c,>100%,133,0.002464593298626397,0.00903593078833106,0.0,0.0
soc,mit_stanford_fast_charge,b1c0,3.6C(80%)-3.6C,0-25%,1,0.0036395625110777,0.0036395625110777,0.0,0.0
soc,mit_stanford_fast_charge,b1c0,3.6C(80%)-3.6C,25-50%,73,0.006266888988048172,0.014699794949082514,0.0,0.0
soc,mit_stanford_fast_charge,b1c0,3.6C(80%)-3.6C,50-75%,83,0.006781262696491118,0.017997854860558195,2.140188963132832e-17,5.551115123125783e-17
soc,mit_stanford_fast_charge,b1c0,3.6C(80%)-3.6C,75-100%,496,0.004891964512654671,0.01693135670011525,4.173048531412129e-17,9.8879238130678e-17
soc,mit_stanford_fast_charge,b1c0,3.6C(80%)-3.6C,>100%,193,0.0005734784412596703,0.0009710596896684179,0.0,0.0
soc,mit_stanford_fast_charge,b1c1,3.6C(80%)-3.6C,0-25%,1,0.0001281458147013,0.0001281458147013,0.0,0.0
soc,mit_stanford_fast_charge,b1c1,3.6C(80%)-3.6C,25-50%,55,0.005920683356088315,0.013975565453684648,0.0,0.0
soc,mit_stanford_fast_charge,b1c1,3.6C(80%)-3.6C,50-75%,73,0.007043166539393991,0.016622865403475497,2.7375362251031256e-17,5.551115123125783e-17
soc,mit_stanford_fast_charge,b1c1,3.6C(80%)-3.6C,75-100%,466,0.0021330963841748227,0.0102354382118435,3.6384805560809195e-17,9.985502008591496e-17
soc,mit_stanford_fast_charge,b1c1,3.6C(80%)-3.6C,>100%,129,0.00024311432945787074,0.0005321235229203796,0.0,0.0
soc,mit_stanford_fast_charge,b1c16,5.4C(60%)-3.6C,0-25%,23,0.00346397926581789,0.012588436761372392,2.413528314402514e-17,1.1102230246251565e-16
soc,mit_stanford_fast_charge,b1c16,5.4C(60%)-3.6C,25-50%,33,0.004706326899656467,0.010363955383794938,0.0,0.0
soc,mit_stanford_fast_charge,b1c16,5.4C(60%)-3.6C,50-75%,38,0.005414314740883951,0.0149458610777263,2.0451476769410777e-17,5.551115123125783e-17
soc,mit_stanford_fast_charge,b1c16,5.4C(60%)-3.6C,75-100%,319,0.0014456706030282188,0.007529319125454198,3.6313332695762184e-17,9.90960785651751e-17
soc,mit_stanford_fast_charge,b1c16,5.4C(60%)-3.6C,>100%,63,0.0003382208014355905,0.0005586489773325,0.0,0.0
soc,mit_stanford_fast_charge,b1c2,3.6C(80%)-3.6C,0-25%,2,0.0121269771888099,0.01430215702962999,0.0,0.0
soc,mit_stanford_fast_charge,b1c2,3.6C(80%)-3.6C,25-50%,159,0.0059469615268458904,0.018138227709718978,0.0,0.0
soc,mit_stanford_fast_charge,b1c2,3.6C(80%)-3.6C,50-75%,165,0.0069959719088723005,0.017403927354439373,2.186802927291975e-17,5.551115123125783e-17
soc,mit_stanford_fast_charge,b1c2,3.6C(80%)-3.6C,75-100%,825,0.0023650439590716748,0.009561024661792634,3.85280914852305e-17,9.993633524885137e-17
soc,mit_stanford_fast_charge,b1c2,3.6C(80%)-3.6C,>100%,142,0.0005142412331517618,0.00072928090218354,0.0,0.0
soc,mit_stanford_fast_charge,b1c3,4C(80%)-4C,0-25%,1,0.0034040957584493,0.0034040957584493,0.0,0.0
soc,mit_stanford_fast_charge,b1c3,4C(80%)-4C,25-50%,66,0.006775668552433147,0.015986223397491152,0.0,0.0
soc,mit_stanford_fast_charge,b1c3,4C(80%)-4C,50-75%,88,0.009745435472100729,0.022388900096113593,2.397072439531588e-17,5.551115123125783e-17
soc,mit_stanford_fast_charge,b1c3,4C(80%)-4C,75-100%,465,0.003752300926769442,0.014360630528379648,3.5652258855554807e-17,9.963817965141786e-17
soc,mit_stanford_fast_charge,b1c3,4C(80%)-4C,>100%,65,0.0006256183476123335,0.00130668767346558,0.0,0.0
soc,mit_stanford_fast_charge,b1c4,4C(80%)-4C,25-50%,89,0.006891925284167663,0.01963040514298206,0.0,0.0
soc,mit_stanford_fast_charge,b1c4,4C(80%)-4C,50-75%,134,0.007924560830406215,0.022441129932847248,2.3612952389415643e-17,5.551115123125783e-17
